id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
1,MDH0001,Bakau,Rhizophora sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,41.00,8.00,Hutan Desa Sungai Piyai,mangrove,Tugam,-0.2738049,103.3478860,7.81,5.76,Belum,-,-,Deka,27/09/2021 08:47,200000,2213.88,-,Krisnawati et al (2012),1632707134606.jpg,1632707154897.jpg,1632707196838.jpg,1632707236130.jpg,
2,MDH0002,Bakau,Rhizophora sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,35.00,7.00,Hutan Desa Sungai Piyai,mangrove,Tugam,-0.2735857,103.3479706,33.74,5.74,Belum,-,-,Deka,27/09/2021 08:55,200000,1548.3,-,Krisnawati et al (2012),1632707604129.jpg,1632707627582.jpg,1632707667639.jpg,1632707707000.jpg,
3,MDH0003,Bakau,Rhizophora sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,39.00,10.00,Hutan Desa Sungai Piyai,mangrove,Tugam,-0.2736616,103.3479511,0.00,5.74,Belum,-,-,Abasri,27/09/2021 09:09,200000,1977.28,-,Krisnawati et al (2012),1632708414123.jpg,1632708422905.jpg,1632708484833.jpg,1632708535705.jpg,
4,MDH0004,Bakau,Rhizophora sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,36.00,12.00,Hutan Desa Sungai Piyai,mangrove,Tugam,-0.2736334,103.3481593,73.02,5.72,Belum,-,-,Deka,27/09/2021 09:15,200000,1650.08,-,Krisnawati et al (2012),1632708810653.jpg,1632708832656.jpg,1632708872299.jpg,1632708906566.jpg,
5,MDH0005,Bakau,Rhizophora sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,25.00,15.00,Hutan Desa Sungai Piyai,mangrove,Tugam,-0.2736453,103.3480117,0.00,5.74,Belum,-,-,Abasri,27/09/2021 09:23,200000,723.78,-,Krisnawati et al (2012),1632709293825.jpg,1632709314796.jpg,1632709348641.jpg,1632709379064.jpg,
6,MDH0006,Bakau,Rhizophora sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,15.00,5.00,Hutan Desa Sungai Piyai,mangrove,Tugam,-0.2736200,103.3480661,34.52,5.73,Belum,-,-,Deka,27/09/2021 09:31,200000,228.15,-,Krisnawati et al (2012),1632709795022.jpg,1632709817938.jpg,1632709835323.jpg,1632709885238.jpg,
7,MDH0007,Bakau,Rhizophora sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40.00,12.00,Hutan Desa Sungai Piyai,mangrove,Tugam,-0.2737318,103.3483236,0.00,5.71,Belum,-,-,Abasri,27/09/2021 09:37,200000,2093.72,-,Krisnawati et al (2012),1632710104520.jpg,1632710165097.jpg,1632710200409.jpg,1632710229973.jpg,
8,MDH0008,Bakau,Rhizophora sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,17.00,5.00,Hutan Desa Sungai Piyai,mangrove,Tugam,-0.2736521,103.3480654,23.97,5.73,Belum,-,-,Abasri,27/09/2021 09:43,200000,302.74,-,Krisnawati et al (2012),1632710452164.jpg,1632710466665.jpg,1632710491401.jpg,1632710593040.jpg,
9,MDH0009,Bakau,Rhizophora sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,21.00,10.00,Hutan Desa Sungai Piyai,mangrove,Tugam,-0.2736450,103.3481866,0.00,5.72,Belum,-,-,Abasri,27/09/2021 09:51,200000,488.07,-,Krisnawati et al (2012),1632710907737.jpg,1632710932644.jpg,1632710996966.jpg,1632711058319.jpg,
10,MDH0010,Bakau,Rhizophora sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,25.00,9.00,Hutan Desa Sungai Piyai,mangrove,Tugam,-0.2737369,103.3481154,0.00,5.73,Belum,-,-,Abasri,27/09/2021 10:00,200000,723.78,-,Krisnawati et al (2012),1632711466087.jpg,1632711480814.jpg,1632711514642.jpg,1632711628929.jpg,
